KRAS	103508.7719/1Mbp
HTN1	5747.1264/1Mbp
CD200R1	5730.659/1Mbp
TUSC3	5730.659/1Mbp
DNAJB8	5722.4607/1Mbp
CHRM2	5710.207/1Mbp
SGCG	5707.7626/1Mbp
ZNF677	5698.0057/1Mbp
DNAJC19	5698.0057/1Mbp
VAMP5	5698.0057/1Mbp
ATP6V0D2	5698.0057/1Mbp
REG3A	5681.8182/1Mbp
CRYGB	5681.8182/1Mbp
SLC35E1	5677.2101/1Mbp
TREM1	5673.7589/1Mbp
ADCYAP1	5649.7175/1Mbp
C4orf26	5649.7175/1Mbp
SUPT4H1	5649.7175/1Mbp
CADM1	5649.7175/1Mbp
HAPLN1	5633.8028/1Mbp
BMPR1B	5628.5178/1Mbp
DYDC1	5617.9775/1Mbp
NTM	5617.9775/1Mbp
KCNA4	5606.524/1Mbp
PLSCR2	5592.8412/1Mbp
KCND3	5589.4309/1Mbp
NPM3	5586.5922/1Mbp
SFMBT2	5586.5922/1Mbp
CHAD	5555.5556/1Mbp
CXCL17	5555.5556/1Mbp
ST8SIA4	5555.5556/1Mbp
PTGFR	5555.5556/1Mbp
KLHL4	5547.8502/1Mbp
AQP10	5518.7638/1Mbp
CLEC9A	5509.6419/1Mbp
CASP14	5486.9684/1Mbp
ZNF474	5479.4521/1Mbp
P2RY10	5479.4521/1Mbp
P2RY4	5464.4809/1Mbp
RSPO2	5464.4809/1Mbp
PSG9	5464.4809/1Mbp
CTHRC1	5464.4809/1Mbp
PCDH17	5459.7701/1Mbp
TMEM132D	5454.5455/1Mbp
ZNF345	5453.3061/1Mbp
TMEM74	5446.6231/1Mbp
PCDH10	5443.4838/1Mbp
ADIPOQ	5442.1769/1Mbp
TIGIT	5442.1769/1Mbp
CDH11	5437.0556/1Mbp
GRIK3	5434.7826/1Mbp
TSSK1B	5434.7826/1Mbp
ZBP1	5426.3566/1Mbp
DCT	5424.9548/1Mbp
PCDHB2	5423.446/1Mbp
SAA1	5420.0542/1Mbp
LRRC20	5405.4054/1Mbp
SLC30A8	5405.4054/1Mbp
ANGPTL2	5398.1107/1Mbp
FSTL1	5393.7433/1Mbp
AVPR2	5376.3441/1Mbp
AURKC	5376.3441/1Mbp
GSK3B	5376.3441/1Mbp
CD52	5376.3441/1Mbp
TEX12	5376.3441/1Mbp
MBOAT1	5376.3441/1Mbp
MT1B	5376.3441/1Mbp
OR8B4	5376.3441/1Mbp
GALNT14	5376.3441/1Mbp
OR5W2	5359.0568/1Mbp
OR10G9	5341.8803/1Mbp
OR8H1	5341.8803/1Mbp
OR52J3	5341.8803/1Mbp
CNBD1	5339.4355/1Mbp
NDUFS6	5333.3333/1Mbp
CADM2	5327.2451/1Mbp
OR51I2	5324.8136/1Mbp
CBFB	5319.1489/1Mbp
CIB3	5319.1489/1Mbp
RNF150	5315.1101/1Mbp
ZFP3	5301.5242/1Mbp
IFNA2	5291.0053/1Mbp
OR10A6	5291.0053/1Mbp
CNIH3	5291.0053/1Mbp
MT1G	5291.0053/1Mbp
CXCL9	5291.0053/1Mbp
OR5F1	5291.0053/1Mbp
OR5B17	5291.0053/1Mbp
MAP1LC3B2	5291.0053/1Mbp
NINJ2	5291.0053/1Mbp
CLEC5A	5291.0053/1Mbp
JAKMIP2	5278.1161/1Mbp
AGPAT4	5277.0449/1Mbp
OR52R1	5274.2616/1Mbp
CACNG3	5274.2616/1Mbp
OR6K3	5274.2616/1Mbp
DCTD	5263.1579/1Mbp
IFNA6	5263.1579/1Mbp
SLITRK1	5260.6408/1Mbp
OR52A5	5257.6236/1Mbp
OR5AP2	5257.6236/1Mbp
HIST1H2BK	5249.3438/1Mbp
HIST1H2BD	5249.3438/1Mbp
C20orf197	5249.3438/1Mbp
APOBEC3C	5235.6021/1Mbp
DLC1	5232.1779/1Mbp
KLK4	5228.7582/1Mbp
OR10H1	5224.6604/1Mbp
PRDM9	5214.1527/1Mbp
COX17	5208.3333/1Mbp
RWDD2B	5208.3333/1Mbp
CYP4B1	5198.1806/1Mbp
OR10J1	5192.108/1Mbp
OR52H1	5192.108/1Mbp
FAM169B	5181.3472/1Mbp
MSRB3	5181.3472/1Mbp
RPL9	5181.3472/1Mbp
POSTN	5177.2202/1Mbp
MRGPRD	5175.9834/1Mbp
SH2D1A	5167.9587/1Mbp
GABRG2	5167.9587/1Mbp
RPL31	5167.9587/1Mbp
RPL22	5167.9587/1Mbp
TCL1B	5167.9587/1Mbp
RIPPLY2	5167.9587/1Mbp
TMEM55A	5167.9587/1Mbp
SLC9A9	5159.9587/1Mbp
CSRP2	5154.6392/1Mbp
UBE2E1	5154.6392/1Mbp
IDH2	5150.8462/1Mbp
PDHA2	5141.3882/1Mbp
SIAH2	5128.2051/1Mbp
NME6	5128.2051/1Mbp
TBCA	5128.2051/1Mbp
MRPS11	5128.2051/1Mbp
TAC1	5128.2051/1Mbp
LYG1	5128.2051/1Mbp
CYP4F2	5118.3621/1Mbp
RARB	5116.9591/1Mbp
PPM1A	5116.9591/1Mbp
PCDH9	5115.7781/1Mbp
MC5R	5112.4744/1Mbp
KRTAP4-3	5102.0408/1Mbp
ADORA1	5096.84/1Mbp
FCN1	5096.84/1Mbp
LRRC18	5089.0585/1Mbp
CHRDL1	5083.5149/1Mbp
ZNF19	5083.5149/1Mbp
PGLYRP1	5076.1421/1Mbp
B4GALT3	5076.1421/1Mbp
HRG	5069.7085/1Mbp
C8B	5067.5676/1Mbp
TOX	5060.0886/1Mbp
HPSE2	5059.0219/1Mbp
CDH18	5056.89/1Mbp
ZNF560	5056.89/1Mbp
SIRPD	5050.5051/1Mbp
C11orf87	5050.5051/1Mbp
ANP32D	5050.5051/1Mbp
FAM170A	5050.5051/1Mbp
LY6E	5050.5051/1Mbp
ZNF385D	5050.5051/1Mbp
MRPL33	5050.5051/1Mbp
FAM19A2	5050.5051/1Mbp
SERP2	5050.5051/1Mbp
OR10J3	5050.5051/1Mbp
RTP1	5050.5051/1Mbp
GZMK	5031.4465/1Mbp
AICDA	5025.1256/1Mbp
USP17L2	5021.9711/1Mbp
OR6B3	5020.0803/1Mbp
GLRA3	5017.9211/1Mbp
SNRNP25	5012.5313/1Mbp
TRHR	5012.5313/1Mbp
ZNF99	5009.6339/1Mbp
GABRG1	5007.1531/1Mbp
EDNRB	5003.127/1Mbp
DACH2	5000.0/1Mbp
COMMD2	5000.0/1Mbp
RERG	5000.0/1Mbp
FZD3	4997.5012/1Mbp
DZIP1	4992.3195/1Mbp
TFG	4987.5312/1Mbp
RCVRN	4975.1244/1Mbp
POLR1D	4975.1244/1Mbp
SERP1	4975.1244/1Mbp
GPR12	4975.1244/1Mbp
OSTN	4975.1244/1Mbp
SPAG11B	4975.1244/1Mbp
MS4A10	4975.1244/1Mbp
NKAPL	4962.7792/1Mbp
ARHGDIB	4950.495/1Mbp
MEAF6	4950.495/1Mbp
GRID1	4950.495/1Mbp
TAGLN	4950.495/1Mbp
PCDH11X	4945.5984/1Mbp
CSNK1A1L	4930.9665/1Mbp
TAAR5	4930.9665/1Mbp
ZNF267	4928.3154/1Mbp
VMO1	4926.1084/1Mbp
IL18R1	4920.0492/1Mbp
TMEM176B	4920.0492/1Mbp
LUM	4916.4208/1Mbp
UBA52	4901.9608/1Mbp
AKIRIN2	4901.9608/1Mbp
IGSF5	4901.9608/1Mbp
CLYBL	4887.5855/1Mbp
KCNRG	4884.0049/1Mbp
OTOL1	4881.4505/1Mbp
CD2BP2	4873.2943/1Mbp
HIST3H3	4866.18/1Mbp
HIST1H3D	4866.18/1Mbp
ADAM7	4856.5121/1Mbp
STARD4	4854.3689/1Mbp
DUSP22	4854.3689/1Mbp
CHST1	4854.3689/1Mbp
CORO2B	4851.0049/1Mbp
HTRA1	4851.0049/1Mbp
CCL23	4830.9179/1Mbp
MSC	4830.9179/1Mbp
MT3	4830.9179/1Mbp
C20orf85	4830.9179/1Mbp
PRSS35	4830.9179/1Mbp
KRTAP15-1	4830.9179/1Mbp
GNG7	4830.9179/1Mbp
PCP4L1	4830.9179/1Mbp
PDZRN4	4821.6008/1Mbp
MEF2C	4820.9366/1Mbp
LRTM1	4816.9557/1Mbp
CDC27	4813.4777/1Mbp
ADSL	4810.9966/1Mbp
PCOLCE2	4807.6923/1Mbp
KRTAP27-1	4807.6923/1Mbp
NMUR2	4807.6923/1Mbp
KHDRBS3	4803.074/1Mbp
GOLT1B	4796.1631/1Mbp
ZNF32	4796.1631/1Mbp
HCLS1	4791.2389/1Mbp
LRP2BP	4789.272/1Mbp
CAPSL	4784.689/1Mbp
PGK2	4784.689/1Mbp
MYL6B	4784.689/1Mbp
FGF6	4784.689/1Mbp
TMED2	4784.689/1Mbp
NT5C1B	4777.0701/1Mbp
PTGER3	4773.2697/1Mbp
HLX	4771.6428/1Mbp
PSG4	4761.9048/1Mbp
HMSD	4761.9048/1Mbp
GPHN	4761.9048/1Mbp
KCNAB1	4761.9048/1Mbp
FKBPL	4761.9048/1Mbp
ZNF585A	4761.9048/1Mbp
GMPPA	4750.5938/1Mbp
FBXL7	4742.5474/1Mbp
EPHA3	4742.5474/1Mbp
ACOT4	4739.3365/1Mbp
FPR2	4734.8485/1Mbp
PYHIN1	4732.9277/1Mbp
C1QTNF1	4728.1324/1Mbp
UQCRB	4728.1324/1Mbp
CENPA	4728.1324/1Mbp
FLJ44635	4728.1324/1Mbp
MCHR1	4728.1324/1Mbp
VAV1	4728.1324/1Mbp
KERA	4721.4353/1Mbp
DYNC2LI1	4721.4353/1Mbp
VTCN1	4711.4252/1Mbp
LRRN3	4701.4575/1Mbp
VAMP4	4694.8357/1Mbp
GNAO1	4694.8357/1Mbp
SHFM1	4694.8357/1Mbp
RBFOX1	4694.8357/1Mbp
UXS1	4694.8357/1Mbp
NDUFA1	4694.8357/1Mbp
SMAD3	4694.8357/1Mbp
DCDC1	4694.8357/1Mbp
PCDH18	4694.8357/1Mbp
DEC1	4694.8357/1Mbp
GNA14	4681.6479/1Mbp
PON1	4681.6479/1Mbp
CCR1	4681.6479/1Mbp
RNF43	4676.8707/1Mbp
TRIM22	4676.0187/1Mbp
USP44	4675.0818/1Mbp
SIGLEC8	4666.6667/1Mbp
GMFG	4662.0047/1Mbp
KCNIP2	4662.0047/1Mbp
CLC	4662.0047/1Mbp
TCTEX1D2	4662.0047/1Mbp
TNR	4660.2894/1Mbp
TM2D2	4651.1628/1Mbp
PWP1	4648.0744/1Mbp
SEMA4D	4634.9942/1Mbp
DSEL	4633.4151/1Mbp
SEL1L2	4629.6296/1Mbp
SNURF	4629.6296/1Mbp
ELAVL2	4629.6296/1Mbp
CLEC4D	4629.6296/1Mbp
CADM3	4618.9376/1Mbp
SH3GL3	4616.8052/1Mbp
TMEM198	4616.8052/1Mbp
KLRK1	4608.2949/1Mbp
SURF6	4604.0516/1Mbp
NAP1L3	4602.2354/1Mbp
APLP1	4601.227/1Mbp
KCTD7	4597.7011/1Mbp
EPB41L3	4595.5882/1Mbp
HLA-B	4591.3682/1Mbp
CDH8	4583.3333/1Mbp
NDUFA12	4566.21/1Mbp
SPRR2F	4566.21/1Mbp
ZBED2	4566.21/1Mbp
CSTL1	4566.21/1Mbp
SPRR2B	4566.21/1Mbp
ALDOB	4566.21/1Mbp
SPRR2E	4566.21/1Mbp
DNAJB3	4566.21/1Mbp
RAB27B	4566.21/1Mbp
SPRR2A	4566.21/1Mbp
SPANXN5	4566.21/1Mbp
COX8C	4566.21/1Mbp
KRTAP19-5	4566.21/1Mbp
SLC6A15	4559.9635/1Mbp
KCNA10	4557.2917/1Mbp
PCDHA3	4556.6071/1Mbp
KRTAP10-6	4553.7341/1Mbp
HTR1E	4553.7341/1Mbp
HNMT	4550.6257/1Mbp
BNIP3L	4545.4545/1Mbp
RAB3D	4545.4545/1Mbp
GHSR	4541.3261/1Mbp
JTB	4535.1474/1Mbp
CALML5	4535.1474/1Mbp
IYD	4535.1474/1Mbp
TNFRSF13B	4535.1474/1Mbp
LDOC1	4535.1474/1Mbp
CD180	4531.7221/1Mbp
DCX	4524.8869/1Mbp
NRXN1	4521.9638/1Mbp
SNAPC1	4516.7118/1Mbp
FOLH1B	4514.6727/1Mbp
AVPI1	4504.5045/1Mbp
DPP10	4504.5045/1Mbp
HBB	4504.5045/1Mbp
TTR	4504.5045/1Mbp
AQP9	4504.5045/1Mbp
PCYT1B	4504.5045/1Mbp
CHST9	4504.5045/1Mbp
RP9	4504.5045/1Mbp
TMEM8C	4504.5045/1Mbp
C1orf100	4504.5045/1Mbp
SPRED1	4494.382/1Mbp
TMEM189-UBE2V1	4492.363/1Mbp
HAO1	4492.363/1Mbp
ARPC1A	4492.363/1Mbp
POM121L12	4489.3378/1Mbp
GSTA3	4484.3049/1Mbp
ELF3	4480.2867/1Mbp
USP3	4478.5669/1Mbp
MS4A1	4474.2729/1Mbp
NSFL1C	4468.2752/1Mbp
ADAM29	4466.0983/1Mbp
EXT1	4462.2936/1Mbp
ZNF454	4461.4404/1Mbp
MLX	4459.3088/1Mbp
ARFIP1	4456.328/1Mbp
UGT3A2	4452.9262/1Mbp
TAS2R50	4444.4444/1Mbp
TXNL4B	4444.4444/1Mbp
CD300C	4444.4444/1Mbp
ZNF22	4444.4444/1Mbp
COMMD5	4444.4444/1Mbp
KCNK9	4444.4444/1Mbp
ADH6	4432.6241/1Mbp
GRIA4	4429.6788/1Mbp
CREM	4429.6788/1Mbp
CLDN8	4424.7788/1Mbp
OR10AG1	4415.011/1Mbp
MLC1	4409.1711/1Mbp
GPR6	4409.1711/1Mbp
TRPC4	4408.274/1Mbp
CD79A	4405.2863/1Mbp
C10orf11	4405.2863/1Mbp
UBE2U	4405.2863/1Mbp
ST6GAL2	4402.5157/1Mbp
FAM71B	4400.44/1Mbp
TM9SF1	4393.1906/1Mbp
ZFAND3	4385.9649/1Mbp
COX6C	4385.9649/1Mbp
CAV3	4385.9649/1Mbp
RAB3C	4385.9649/1Mbp
NGB	4385.9649/1Mbp
C6orf48	4385.9649/1Mbp
RUVBL1	4376.3676/1Mbp
POGK	4371.5847/1Mbp
RALYL	4371.5847/1Mbp
PRSS3	4371.5847/1Mbp
NELL1	4370.2821/1Mbp
DOCK2	4369.1972/1Mbp
GPR34	4363.0017/1Mbp
NPY2R	4363.0017/1Mbp
PHF7	4363.0017/1Mbp
HTR2C	4357.2985/1Mbp
LAIR2	4357.2985/1Mbp
UBE2A	4357.2985/1Mbp
RGS21	4357.2985/1Mbp
CLDN16	4357.2985/1Mbp
NINJ1	4357.2985/1Mbp
UBE2B	4357.2985/1Mbp
EHD3	4353.2338/1Mbp
B4GALT6	4351.6101/1Mbp
NAA11	4347.8261/1Mbp
RORB	4347.8261/1Mbp
ZMAT4	4347.8261/1Mbp
GGA2	4343.1053/1Mbp
DOK5	4343.1053/1Mbp
TFAP2B	4338.3948/1Mbp
PKIA	4329.0043/1Mbp
F9	4329.0043/1Mbp
OR5M3	4329.0043/1Mbp
GIMAP5	4329.0043/1Mbp
PTPRM	4320.1455/1Mbp
AFF2	4319.1057/1Mbp
GTF2H3	4314.9946/1Mbp
OR2T6	4314.9946/1Mbp
CHST4	4306.6322/1Mbp
ZNF329	4305.0431/1Mbp
RSPH1	4301.0753/1Mbp
OR5AK2	4301.0753/1Mbp
C16orf87	4301.0753/1Mbp
OR4C46	4301.0753/1Mbp
FBXW11	4297.1148/1Mbp
ITK	4294.1492/1Mbp
KLHL32	4294.1492/1Mbp
KYNU	4291.8455/1Mbp
TRIM38	4291.8455/1Mbp
CD1E	4284.4901/1Mbp
SEMA3D	4284.4901/1Mbp
PTCD2	4284.4901/1Mbp
MBNL1	4284.4901/1Mbp
PDGFRA	4281.3456/1Mbp
NRG1	4279.6006/1Mbp
KIRREL3	4278.9902/1Mbp
LRP1B	4275.3623/1Mbp
BCL10	4273.5043/1Mbp
MGST1	4273.5043/1Mbp
TLL1	4273.5043/1Mbp
OR2A5	4273.5043/1Mbp
OR4K1	4273.5043/1Mbp
ADHFE1	4273.5043/1Mbp
FGF1	4273.5043/1Mbp
HOXA6	4273.5043/1Mbp
RNF122	4273.5043/1Mbp
SNRNP27	4273.5043/1Mbp
FUNDC1	4273.5043/1Mbp
DEFB135	4273.5043/1Mbp
ILDR1	4265.6917/1Mbp
ZNF121	4262.5746/1Mbp
IRAK2	4259.8509/1Mbp
OR6C75	4259.8509/1Mbp
OR51A7	4259.8509/1Mbp
RBBP7	4255.3191/1Mbp
IL32	4255.3191/1Mbp
ANP32C	4255.3191/1Mbp
RXFP3	4255.3191/1Mbp
NKX3-1	4255.3191/1Mbp
C1orf61	4246.2845/1Mbp
OR52E6	4246.2845/1Mbp
ZNF264	4246.2845/1Mbp
RNASE7	4246.2845/1Mbp
OR51A4	4246.2845/1Mbp
LRRC52	4246.2845/1Mbp
BMP15	4240.8821/1Mbp
TFPI2	4237.2881/1Mbp
MYCT1	4237.2881/1Mbp
PFKFB1	4237.2881/1Mbp
CCDC60	4234.7247/1Mbp
OR51G2	4232.8042/1Mbp
MAGEA12	4232.8042/1Mbp
RMND5B	4230.1184/1Mbp
FGA	4229.1426/1Mbp
CWC27	4228.3298/1Mbp
PLA2G4C	4227.0531/1Mbp
RUNDC3B	4219.4093/1Mbp
TMEM50A	4219.4093/1Mbp
OR4A5	4219.4093/1Mbp
C7orf49	4219.4093/1Mbp
DEFB105B	4219.4093/1Mbp
GABRQ	4212.7435/1Mbp
MCOLN3	4211.793/1Mbp
GABRB1	4210.5263/1Mbp
VN1R2	4208.7542/1Mbp
MAT1A	4208.7542/1Mbp
OR2T11	4206.0988/1Mbp
OR8J1	4206.0988/1Mbp
SLA	4206.0988/1Mbp
ZNF354C	4204.2042/1Mbp
LPL	4201.6807/1Mbp
TGIF2	4201.6807/1Mbp
KCNQ3	4200.0764/1Mbp
GPC6	4196.6427/1Mbp
PPP4R4	4195.2708/1Mbp
ACP1	4192.8721/1Mbp
OR6N2	4192.8721/1Mbp
EGR2	4192.8721/1Mbp
CPE	4192.8721/1Mbp
PARVB	4187.6047/1Mbp
LHX9	4187.6047/1Mbp
CD63	4184.1004/1Mbp
UBE2R2	4184.1004/1Mbp
ADAMTS12	4179.7283/1Mbp
ADORA3	4179.7283/1Mbp
OR13C9	4179.7283/1Mbp
B4GALT1	4177.1094/1Mbp
MGAT4C	4175.3653/1Mbp
SLC17A2	4175.3653/1Mbp
ANKRD1	4166.6667/1Mbp
SLCO6A1	4166.6667/1Mbp
OR8K1	4166.6667/1Mbp
ST20	4166.6667/1Mbp
SFT2D1	4166.6667/1Mbp
SMR3B	4166.6667/1Mbp
CRYL1	4166.6667/1Mbp
BEND2	4166.6667/1Mbp
CKS1B	4166.6667/1Mbp
HTR7	4166.6667/1Mbp
CKS2	4166.6667/1Mbp
S100G	4166.6667/1Mbp
SH3BGR	4166.6667/1Mbp
TMEM42	4166.6667/1Mbp
COX7A1	4166.6667/1Mbp
OR2W1	4153.6864/1Mbp
HSPA1L	4153.6864/1Mbp
CHST15	4151.8387/1Mbp
TMEM86A	4149.3776/1Mbp
TNFSF14	4149.3776/1Mbp
ATP12A	4142.7661/1Mbp
PMP22	4140.7867/1Mbp
LY96	4140.7867/1Mbp
ANXA4	4140.7867/1Mbp
RASSF4	4140.7867/1Mbp
CTSO	4140.7867/1Mbp
OR5K3	4140.7867/1Mbp
SLCO4C1	4137.931/1Mbp
ZNF257	4137.1158/1Mbp
CCDC28B	4132.2314/1Mbp
FAM71C	4132.2314/1Mbp
CRHBP	4127.967/1Mbp
HCN1	4115.2263/1Mbp
FTMT	4115.2263/1Mbp
KRT33B	4115.2263/1Mbp
ZEB2	4115.2263/1Mbp
RIMBP2	4115.2263/1Mbp
MASP1	4115.2263/1Mbp
MORN5	4115.2263/1Mbp
OR6K2	4102.5641/1Mbp
OR5AS1	4102.5641/1Mbp
ZNF648	4100.7616/1Mbp
ZIK1	4098.3607/1Mbp
ESX1	4095.0041/1Mbp
SPATA16	4093.5673/1Mbp
IL15	4089.9796/1Mbp
IL10RB	4089.9796/1Mbp
LY86	4089.9796/1Mbp
IL21	4089.9796/1Mbp
FOLR3	4076.087/1Mbp
EVC2	4074.357/1Mbp
ERBB4	4074.357/1Mbp
ME1	4072.135/1Mbp
SDK1	4065.0407/1Mbp
C1QC	4065.0407/1Mbp
